Id,Label,timeset,account,1,2,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
49,49,"<[8575028.0, 8864142.0]>",0x607848e860027e98341b79a2a2ec43bc944b7bdc,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
50,50,"<[8575028.0, 8864142.0]>",0x70f284aea8983397ee27a14430a2fe54a737a284,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
51,51,"<[8575028.0, 8864142.0]>",0xa315fdb91dbcb6320156af6babcd78fbbdbcb55e,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
52,52,"<[8575028.0, 8864142.0]>",0x0baf434ff8a7bf73bbe8d9d0316737ff34542a17,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
53,53,"<[8575028.0, 8864142.0]>",0xd87f101ae0a2c981b5e33aaf8408b4c45b363338,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
54,54,"<[8575028.0, 8864142.0]>",0x6e9c78bb7005165e7399c6089d4019917ec3633f,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
55,55,"<[8575028.0, 8864142.0]>",0x24c1251da7609532bf53b03d362a768a2430877c,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
56,56,"<[8575028.0, 8864142.0]>",0x8349e13506801d9257c0577b30458dea516447c2,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
57,57,"<[8575028.0, 8864142.0]>",0x44dfe31de2e3dc880b07220e5a82e142308bb67e,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
58,58,"<[8575035.0, 8864142.0]>",0x9c908738b088c928f5b1184d6bc9d68aadd66bc9,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
59,59,"<[8575035.0, 8864142.0]>",0x6c54c7e5cdc7609549e9f59acc10592f36674f5e,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
60,60,"<[8575035.0, 8864142.0]>",0x77b8d4b4cdee085003f3a2fd91c4928298ed83a8,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
61,61,"<[8575035.0, 8864142.0]>",0xa8a0681e115b9c2b11ae88f2f63edc2eab5d146e,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
62,62,"<[8575035.0, 8864142.0]>",0xe11f190c89adf5a80f5422eb54fc3c7d67d62f9d,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
63,63,"<[8575035.0, 8864142.0]>",0x5f864dc4bc71f764193e9bec8144f8e9898f87b0,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
64,64,"<[8575035.0, 8864142.0]>",0xae18029e1dbcc36514db82d3d5977904438d0955,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
65,65,"<[8575035.0, 8864142.0]>",0xfb8d857022cc43f0b71b5565e22a7255bf931ea7,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
66,66,"<[8575035.0, 8864142.0]>",0x7e6f37e43834e153d73e1aaf97b9f397baca6fc0,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
67,67,"<[8575035.0, 8864142.0]>",0xb1a215384942d8de4ceb303d89d0ca572a4ce373,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
68,68,"<[8575035.0, 8864142.0]>",0x498667791b9ccbfdf9c8133509799471f50ad737,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
69,69,"<[8575035.0, 8864142.0]>",0x88037fe34b59164c198a726c11b69861749390c3,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
70,70,"<[8575035.0, 8864142.0]>",0xfcd36ebb288079ad3ea2d37e282cc2832ab2b2b0,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
71,71,"<[8575035.0, 8864142.0]>",0x9d85ac13b65d931910f412adeb22c25eff5af3d9,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
72,72,"<[8575035.0, 8864142.0]>",0x102bf20e4845bb33d381fac56270117c2493bb7f,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
73,73,"<[8575035.0, 8864142.0]>",0x3cf608a550017a156cb13e371eda2d3111c0cf9e,8575035,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
